Experiment_Set,Run_Number,Iteration,p,e,Best_Fitness,Average_Fitness,Standard_Deviation
1,0,0,100,0.9,2542.0,6478.27,1532.6211786022013
1,0,500,100,0.9,2251.0,5991.59,1330.8708810023606
1,0,1000,100,0.9,2729.0,6174.91,1579.0776871009227
1,0,1500,100,0.9,2269.0,6011.88,1534.0683901312875
1,0,2000,100,0.9,3505.0,6315.93,1416.0798653677696
1,0,2500,100,0.9,3004.0,5981.28,1420.7029955624082
1,0,3000,100,0.9,3217.0,6283.72,1594.6437475499033
1,0,3500,100,0.9,2131.0,6113.88,1490.6863337402674
1,0,4000,100,0.9,3151.0,6494.93,1645.8311715057532
1,0,4500,100,0.9,3155.0,6321.13,1642.475805940532
1,0,5000,100,0.9,3057.0,5936.56,1401.4106772820019
1,0,5500,100,0.9,2740.0,6180.08,1806.2914531160247
1,0,6000,100,0.9,2701.0,6042.96,1501.347507541142
1,0,6500,100,0.9,2955.0,6354.99,1648.3844787852136
1,0,7000,100,0.9,1965.0,6241.74,1577.354751601554
1,0,7500,100,0.9,1833.0,6272.28,1574.9112424514597
1,0,8000,100,0.9,2780.0,5966.53,1649.9869239178834
1,0,8500,100,0.9,2936.0,6162.73,1669.0838436399772
1,0,9000,100,0.9,2666.0,6124.58,1507.0389854280477
1,0,9500,100,0.9,3215.0,6050.52,1395.4392102847046
1,0,10000,100,0.9,2832.0,5934.72,1583.0011060008771
1,1,0,100,0.9,2634.0,6479.25,1570.9433049922586
1,1,500,100,0.9,2833.0,6240.23,1604.6051779487686
1,1,1000,100,0.9,2980.0,6163.29,1499.332506784269
1,1,1500,100,0.9,2460.0,6311.39,1731.3919249840576
1,1,2000,100,0.9,2806.0,6304.53,1659.6600884217225
1,1,2500,100,0.9,2681.0,6195.66,1516.963751841157
1,1,3000,100,0.9,2487.0,6173.34,1550.3355973465875
1,1,3500,100,0.9,2386.0,6177.93,1789.0599724715769
1,1,4000,100,0.9,2837.0,6127.07,1580.477024540376
1,1,4500,100,0.9,3409.0,6374.03,1563.3773917707779
1,1,5000,100,0.9,2701.0,6005.34,1578.3401295031435
1,1,5500,100,0.9,1865.0,6364.09,1655.6698166905142
1,1,6000,100,0.9,2807.0,6150.85,1635.2594373676611
1,1,6500,100,0.9,2964.0,6071.34,1462.1548496653834
1,1,7000,100,0.9,3128.0,6039.74,1449.3315881467568
1,1,7500,100,0.9,2535.0,6075.9,1569.6960119717448
1,1,8000,100,0.9,3091.0,6312.87,1700.3981454647615
1,1,8500,100,0.9,2721.0,6199.33,1523.4771547679998
1,1,9000,100,0.9,3281.0,6131.63,1488.4754123263172
1,1,9500,100,0.9,2591.0,6315.33,1620.4593179404412
1,1,10000,100,0.9,2542.0,5817.02,1524.4517898575868
1,2,0,100,0.9,2425.0,6128.36,1649.4137111107084
1,2,500,100,0.9,3025.0,6126.57,1487.7514930592406
1,2,1000,100,0.9,3210.0,6268.58,1563.493832287163
1,2,1500,100,0.9,2414.0,6052.34,1557.609015253828
1,2,2000,100,0.9,2703.0,6021.96,1391.6781949861827
1,2,2500,100,0.9,2345.0,6168.69,1571.750149960228
1,2,3000,100,0.9,2211.0,6238.5,1507.13458257715
1,2,3500,100,0.9,2105.0,6301.41,1711.136313068015
1,2,4000,100,0.9,2385.0,6010.3,1459.0943800864975
1,2,4500,100,0.9,2120.0,6094.69,1721.78590826502
1,2,5000,100,0.9,2124.0,6247.56,1709.8272270612606
1,2,5500,100,0.9,2811.0,6069.63,1521.7525268912814
1,2,6000,100,0.9,3540.0,5982.54,1379.307887456604
1,2,6500,100,0.9,2041.0,6348.85,1594.605941134047
1,2,7000,100,0.9,2592.0,6330.23,1671.9531384282275
